date,open,high,low,close,volume
2016/12/27,3264,3275.02,3260.15,3261.11,14131.15
2016/12/28,3260.17,3265.45,3240.06,3248.14,13550.92
2016/12/29,3241.42,3258.15,3232.49,3241.67,13242.73
2016/12/30,3242.99,3255.04,3235.27,3249.59,13305.11
2017/1/3,3251.35,3284.02,3251.35,3283.45,14126.34
2017/1/4,3281.21,3308.83,3277.35,3307.45,16746.25
2017/1/5,3306.51,3317.63,3302.7,3314.39,17439.7
2017/1/6,3312.68,3321.36,3301.41,3302.79,18338.86
2017/1/9,3296.71,3322.54,3295.88,3320.53,17143.97
2017/1/10,3316.68,3324.03,3305.93,3310.49,17947.03
2017/1/11,3305.26,3316.15,3283.86,3284.37,17807.38
2017/1/12,3281.06,3292.99,3262.56,3266.04,14866.56
2017/1/13,3262.67,3277.85,3248.13,3259.27,15600.89
2017/1/16,3250.59,3251.58,3187.78,3249.77,25720.69
2017/1/17,3232.55,3255.47,3217.13,3255.33,13582.5
2017/1/18,3251.12,3271,3244.65,3259.77,13155.3
2017/1/19,3251.33,3262.69,3239.83,3247.48,12366.67
2017/1/20,3241.72,3272.95,3241.08,3270.33,12215.11
2017/1/23,3272.73,3294.09,3272.73,3284.57,13242.46
2017/1/24,3282.27,3297.96,3278.71,3290.62,12575.14
2017/1/25,3285.47,3299.99,3280.79,3297.96,11196.11
2017/1/26,3297.61,3312.19,3297.3,3308.06,11360.1
2017/2/3,3309.01,3311.75,3283.81,3288.17,9194.38
2017/2/6,3291.26,3307.76,3283.17,3305.8,12697.78
2017/2/7,3303.09,3308.47,3288.01,3301.7,12815.98
2017/2/8,3296.45,3316.75,3279.63,3316.27,14467.47
2017/2/9,3313.85,3337.1,3311.64,3333.23,19132.41
2017/2/10,3333.04,3356.14,3332.83,3347.39,23890.46
2017/2/13,3349.79,3371.16,3349.79,3368.46,21981.7
2017/2/14,3367.71,3371.15,3356.34,3369.6,18845.11
2017/2/15,3367.01,3388.52,3357.66,3364.4,24099.3
2017/2/16,3361.64,3382.56,3358.94,3381.87,21651.09
2017/2/17,3379.86,3391.07,3350.18,3352.96,22585.25
2017/2/20,3349.69,3394.22,3349.69,3392.65,23157.07
2017/2/21,3395.03,3407.74,3392.58,3406.65,21112.5
2017/2/22,3405.98,3415.11,3396.71,3414.94,20696.95
2017/2/23,3412.43,3417.95,3388.84,3404.59,20871.95
2017/2/24,3399.85,3407.35,3385.86,3406.79,18592.26
2017/2/27,3402.34,3404.92,3376.02,3380.82,18217.8
2017/2/28,3377.99,3395.49,3377.99,3394.5,15091.83
2017/3/1,3392.75,3413.58,3390.44,3399.89,19017.82
2017/3/2,3403.65,3410.27,3380.77,3382.21,18088.94
2017/3/3,3370.85,3372.9,3357.65,3369.93,15676.54
2017/3/6,3368.9,3387.04,3366.51,3386.21,15578.91
2017/3/7,3385.4,3395.46,3378.84,3395.2,16381.99
2017/3/8,3393.24,3398.27,3382.84,3393.41,16046.24
2017/3/9,3386.1,3386.28,3356.28,3368.32,16712.13
2017/3/10,3365.15,3374.16,3359.57,3364.1,13648.21
2017/3/13,3360.62,3389.66,3343.54,3389.56,16344.1
2017/3/14,3387.7,3399.33,3383.81,3392,14656.39
2017/3/15,3387.87,3396.62,3379.85,3394.59,14373.43
2017/3/16,3400.24,3423.89,3400.24,3423.01,18903.19
2017/3/17,3426.09,3428.51,3384.53,3389.95,20016.35
2017/3/20,3393.79,3404.31,3380.18,3403.97,17032.32
2017/3/21,3403.38,3415.92,3399.64,3415.28,16248.44
2017/3/22,3399.13,3409.17,3381.24,3398.11,18933.45
2017/3/23,3398.75,3415.81,3374.09,3401.82,19182.67
2017/3/24,3400.59,3429.83,3394.04,3423.77,21924.59
2017/3/27,3423.21,3438.23,3416.11,3421.2,20140.41
2017/3/28,3419.82,3419.82,3399.31,3406.5,16147.22
2017/3/29,3406.42,3416.12,3385.87,3394.35,21557.72
2017/3/30,3387.87,3392.99,3346.74,3361.79,24653.08
2017/3/31,3357.6,3378.56,3356.82,3374.66,19607.04
2017/4/5,3388.45,3424.97,3385.84,3424.61,24764.57
2017/4/6,3426.6,3441.82,3419.87,3435.87,24489.65
2017/4/7,3435.47,3450.76,3429.64,3441.76,23581.07
2017/4/10,3440.55,3440.55,3419.1,3423.69,23235.25
2017/4/11,3420.36,3445.77,3397.55,3444.26,28084.09
