Date,Open,High,Low,Close, Volume,Turnover
20100519,2868.06,2924.42,2847.37,2884.40,5740592853.00,656.99
20100520,2861.08,2916.30,2843.22,2844.44,5659970409.00,667.76
20100521,2771.41,2887.95,2771.41,2887.95,6826113819.00,764.65
20100524,2907.58,3006.83,2907.58,2998.06,9352272041.00,1094.32
20100525,2977.01,2981.36,2926.29,2944.58,7579356639.00,873.99
20100526,2943.51,2963.76,2927.43,2947.05,5515343700.00,642.18
20100527,2940.80,2998.84,2906.08,2994.39,7122422653.00,813.99
20100528,3021.13,3021.13,2978.47,2990.37,7085992409.00,833.86
20100531,2975.96,2996.85,2911.04,2911.04,6333669559.00,745.96
20100601,2890.34,2906.83,2841.26,2876.49,6113123814.00,690.54
20100602,2861.10,2894.01,2831.47,2894.01,5314522657.00,595.72
20100603,2906.28,2927.80,2875.59,2875.59,5869211329.00,677.98
20100604,2860.48,2887.85,2851.61,2886.94,4856582036.00,554.91
20100607,2832.75,2861.15,2820.54,2844.55,5623438836.00,645.98
20100608,2843.14,2866.71,2828.78,2851.94,5243289255.00,614.35
20100609,2864.63,2932.60,2844.56,2932.60,8026637140.00,905.87
20100610,2912.34,2930.87,2901.92,2908.28,7069604183.00,741.72
20100611,2923.33,2937.82,2909.08,2910.09,5944944484.00,662.57
20100617,2929.45,2929.45,2888.10,2888.10,4485560802.00,523.11
20100618,2883.24,2891.51,2814.02,2825.24,5529871835.00,637.09
20100621,2825.85,2910.20,2812.73,2910.20,6805413422.00,743.51
20100622,2902.88,2927.29,2902.88,2918.05,5522113594.00,600.93
20100623,2903.49,2922.88,2869.52,2894.15,4933172670.00,548.03
20100624,2896.61,2918.68,2881.09,2894.83,3988982850.00,451.41
20100625,2881.77,2891.80,2854.62,2869.82,4182617385.00,468.13
20100628,2867.52,2880.12,2838.18,2843.92,3646717309.00,406.55
20100629,2843.45,2843.45,2712.49,2712.49,6337388334.00,645.61
20100630,2688.15,2692.20,2664.92,2684.51,4736806161.00,466.58
20100701,2679.35,2690.12,2644.25,2644.54,4144922150.00,423.04
20100702,2641.01,2648.83,2567.58,2645.43,5622190264.00,550.49
